Disease,Description,Precaution_1,Precaution_2,Precaution_3,Precaution_4,Medication,Diet
Hypertension,"Hypertension, or high blood pressure, is a common cardiovascular condition.",meditation,salt baths,reduce stress,get proper sleep,"['Antihypertensive medications', 'Diuretics', 'Beta-blockers', 'ACE inhibitors', 'Calcium channel blockers']","['DASH Diet', 'Low-sodium foods', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']"
Migraine,Migraine is a type of headache that often involves severe pain and sensitivity to light and sound.,meditation,reduce stress,use poloroid glasses in sun,consult doctor,"['Analgesics', 'Triptans', 'Ergotamine derivatives', 'Preventive medications', 'Biofeedback']","['Migraine Diet', 'Low-Tyramine Diet', 'Caffeine withdrawal', 'Hydration', 'Magnesium-rich foods']"
Cervical Spondylosis,Cervical spondylosis is a degenerative condition of the cervical spine.,use heating pad or cold pack,exercise,take otc pain reliver,consult doctor,"['Pain relievers', 'Muscle relaxants', 'Physical therapy', 'Neck braces', 'Corticosteroids']","['Arthritis Diet', 'Anti-Inflammatory Diet', 'Omega-3-rich foods', 'Fruits and vegetables', 'Whole grains']"
Paralysis (Brain Hemorrhage),Paralysis (brain hemorrhage) refers to the loss of muscle function due to bleeding in the brain.,massage,eat healthy,exercise,consult doctor,"['Blood thinners', 'Clot-dissolving medications', 'Anticonvulsants', 'Physical therapy', 'Occupational therapy']","['Heart-Healthy Diet', 'Low-sodium foods', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']"
Jaundice,"Jaundice is a yellow discoloration of the skin and eyes, often indicating liver problems.",drink plenty of water,consume milk thistle,eat fruits and high fiberous food,medication,"['IV fluids', 'Blood transfusions', 'Liver transplant', 'Medications for itching', 'Antiviral medications']","['Liver-Healthy Diet', 'Low-fat Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']"
Malaria,Malaria is a mosquito-borne infectious disease affecting humans and other animals.,Consult nearest hospital,avoid oily food,avoid non veg food,keep mosquitos out,"['Antimalarial drugs', 'Antipyretics', 'Antiemetic drugs', 'IV fluids', 'Blood transfusions']","['Malaria Diet', 'Hydration', 'High-Calorie Diet', 'Soft and bland foods', 'Oral rehydration solutions']"
Chicken Pox,Chicken pox is a highly contagious viral infection causing an itchy rash.,use neem in bathing ,consume neem leaves,take vaccine,avoid public places,"['Antiviral drugs', 'Pain relievers', 'IV fluids', 'Blood transfusions', 'Platelet transfusions']","['Chicken Pox Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']"
Dengue,Dengue is a mosquito-borne viral infection causing flu-like symptoms.,drink papaya leaf juice,avoid fatty spicy food,keep mosquitos away,keep hydrated,"['Antibiotics', 'Antipyretics', 'Analgesics', 'IV fluids', 'Corticosteroids']","['Dengue Diet', 'Hydration', 'High-Calorie Diet', 'Soft and bland foods', 'Protein-rich foods']"
Typhoid,Typhoid is a bacterial infection that can lead to a high fever and gastrointestinal symptoms.,eat high calorie vegitables,antiboitic therapy,consult doctor,medication,"['Vaccination', 'Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Liver transplant']","['Typhoid Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']"
Hepatitis A,hepatitis A is a viral liver disease.,Consult nearest hospital,wash hands through,avoid fatty spicy food,medication,"['Vaccination', 'Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Liver transplant']","['Hepatitis A Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']"
Hepatitis B,Hepatitis B is a viral infection that attacks the liver.,consult nearest hospital,vaccination,eat healthy,medication,"['Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Platelet transfusions', 'Liver transplant']","['Hepatitis B Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']"
Hepatitis C,Hepatitis C is a viral infection that causes liver inflammation.,Consult nearest hospital,vaccination,eat healthy,medication,"['Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Platelet transfusions', 'Liver transplant']","['Hepatitis C Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']"
Hepatitis D,Hepatitis D is a serious liver disease caused by the hepatitis D virus.,consult doctor,medication,eat healthy,follow up,"['Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Platelet transfusions', 'Liver transplant']","['Hepatitis D Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']"
Hepatitis E,Hepatitis E is a viral infection that causes liver inflammation.,stop alcohol consumption,rest,consult doctor,medication,"['Alcohol cessation', 'Corticosteroids', 'IV fluids', 'Liver transplant', 'Nutritional support']","['Hepatitis E Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']"
Alcoholic Hepatitis,Alcoholic hepatitis is inflammation of the liver due to alcohol consumption.,stop alcohol consumption,consult doctor,medication,follow up,"['Antibiotics', 'Isoniazid', 'Rifampin', 'Ethambutol', 'Pyrazinamide']","['Liver-Healthy Diet', 'Low-fat Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']"
Tuberculosis,Tuberculosis is a bacterial infection that primarily affects the lungs.,cover mouth,consult doctor,medication,rest,"['Antipyretics', 'Decongestants', 'Cough suppressants', 'Antihistamines', 'Pain relievers']","['TB Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']"
Common Cold,Common Cold is a viral infection of the upper respiratory tract.,drink vitamin c rich drinks,take vapour,avoid cold food,keep fever in check,"['Antibiotics', 'Antiviral drugs', 'Antifungal drugs', 'IV fluids', 'Oxygen therapy']","['Cold Diet', 'Hydration', 'Warm fluids', 'Rest', 'Honey and lemon tea']"
Pneumonia,Pneumonia is an inflammatory condition affecting the air sacs in the lungs.,consult doctor,medication,rest,follow up,"['Laxatives', 'Pain relievers', 'Warm baths', 'Cold compresses', 'High-fiber diet']","['Pneumonia Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']"
Dimorphic Hemmorhoids(Piles),Dimorphic hemmorhoids(piles) is a condition characterized by swollen blood vessels in the rectum.,avoid fatty spicy food,consume witch hazel,warm bath with epsom salt,consume alovera juice,"['Nitroglycerin', 'Aspirin', 'Beta-blockers', 'Calcium channel blockers', 'Thrombolytic drugs']","['Hemorrhoids Diet', 'High-Fiber Diet', 'Hydration', 'Warm baths', 'Stool softeners']"
Heart Attack,Heart attack is a sudden and severe reduction in blood flow to the heart muscle.,call ambulance,chew or swallow asprin,keep calm,,"['Compression stockings', 'Exercise', 'Elevating the legs', 'Sclerotherapy', 'Laser treatments']","['Heart-Healthy Diet', 'Low-sodium foods', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']"
Varicose Veins,"Varicose veins are enlarged, twisted veins that usually appear on the legs.",lie down flat and raise the leg high,use oinments,use vein compression,dont stand still for long,"['Levothyroxine', 'Antithyroid medications', 'Beta-blockers', 'Radioactive iodine', 'Thyroid surgery']","['Varicose Veins Diet', 'High-Fiber Diet', 'Fruits and vegetables', 'Whole grains', 'Low-sodium foods']"
Hypothyroidism,Hypothyroidism is a condition where the thyroid gland doesn't produce enough thyroid hormone.,reduce stress,exercise,eat healthy,get proper sleep,"['Antithyroid medications', 'Radioactive iodine', 'Thyroid surgery', 'Beta-blockers', 'Corticosteroids']","['Hypothyroidism Diet', 'Iodine-rich foods', 'Selenium-rich foods', 'Fruits and vegetables', 'Whole grains']"
Hyperthyroidism,Hyperthyroidism is a condition where the thyroid gland produces too much thyroid hormone.,eat healthy,massage,use lemon balm,take radioactive iodine treatment,"['Glucose tablets', 'Candy or juice', 'Glucagon injection', 'IV dextrose', 'Diazoxide']","['Hyperthyroidism Diet', 'Low-Iodine Diet', 'Calcium-rich foods', 'Selenium-rich foods', 'Fruits and vegetables']"
Hypoglycemia,Hypoglycemia is a condition characterized by abnormally low blood sugar levels.,lie down on side,check in pulse,drink sugary drinks,consult doctor,"['Pain relievers', 'Exercise', 'Hot and cold packs', 'Joint protection', 'Physical therapy']","['Hypoglycemia Diet', 'Complex carbohydrates', 'Protein-rich snacks', 'Fiber-rich foods', 'Healthy fats']"
Osteoarthristis,Osteoarthristis is a degenerative joint disease that affects the cartilage in joints.,acetaminophen,consult nearest hospital,follow up,salt baths,"['NSAIDs', 'Disease-modifying antirheumatic drugs (DMARDs)', 'Biologics', 'Corticosteroids', 'Joint replacement surgery']","['Arthritis Diet', 'Anti-Inflammatory Diet', 'Omega-3-rich foods', 'Fruits and vegetables', 'Whole grains']"
Arthritis,"Arthritis is inflammation of one or more joints, causing pain and stiffness.",exercise,use hot and cold therapy,try acupuncture,massage,"['Vestibular rehabilitation', 'Canalith repositioning', 'Medications for nausea', 'Surgery', 'Home exercises']","['Arthritis Diet', 'Anti-Inflammatory Diet', 'Omega-3-rich foods', 'Fruits and vegetables', 'Whole grains']"
(Vertigo) Paroymsal Positional Vertigo,(Vertigo) Paroxysmal Positional Vertigo is a type of dizziness caused by specific head movements.,,,,,"['Topical treatments', 'Antibiotics', 'Oral medications', 'Hormonal treatments', 'Isotretinoin']","['Vertigo Diet', 'Low-Salt Diet', 'Hydration', 'Ginger tea', 'Vitamin D-rich foods']"
Acne,Acne is a skin condition that occurs when hair follicles become clogged with oil and dead skin cells.,bath twice,avoid fatty spicy food,drink plenty of water,avoid too many products,"['Antibiotics', 'Pain relievers', 'Antihistamines', 'Corticosteroids', 'Topical treatments']","['Acne Diet', 'Low-Glycemic Diet', 'Hydration', 'Fruits and vegetables', 'Probiotics']"
Urinary Tract Infection,Urinary tract infection is an infection in any part of the urinary system.,drink plenty of water,increase vitamin c intake,drink cranberry juice,take probiotics,"['Antibiotics', 'Urinary analgesics', 'Phenazopyridine', 'Antispasmodics', 'Probiotics']","['UTI Diet', 'Hydration', 'Cranberry juice', 'Probiotics', 'Vitamin C-rich foods']"
Psoriasis,"Psoriasis is a chronic skin condition characterized by red, itchy, and scaly patches.",wash hands with warm soapy water,stop bleeding using pressure,consult doctor,salt baths,"['Topical treatments', 'Phototherapy', 'Systemic medications', 'Biologics', 'Coal tar']","['Psoriasis Diet', 'Anti-Inflammatory Diet', 'Omega-3-rich foods', 'Fruits and vegetables', 'Whole grains']"
Impetigo,Impetigo is a highly contagious skin infection causing red sores that can break open.,soak affected area in warm water,use antibiotics,remove scabs with wet compressed cloth,consult doctor,"['Topical antibiotics', 'Oral antibiotics', 'Antiseptics', 'Ointments', 'Warm compresses']","['Impetigo Diet', 'Antibiotic treatment', 'Fruits and vegetables', 'Hydration', 'Protein-rich foods']"
